mutant-id|timeToExecute|0-sha1 node|1-sha1 browser|2-v5|3-uuids with current time|4-uuids with time option|5-msec|6-exception thrown when > 10k ids created in 1ms|7-clock regression by msec|8-clock regression by nsec|9-explicit options product expected id|10-ids spanning 1ms boundary are 100ns apart
MUTANT 365|1502ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 366|1443ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 367|1457ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 368|1453ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 369|1363ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 370|1385ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 371|1390ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 372|1420ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 373|1370ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 374|1413ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 375|1482ms|1|0|0|1|1|1|1|1|1|1|1
